,tweet
0,nthng wrng ut ng ln nd hpp 
1,hr w g gn
2,real reason you are sad you are attached people distant you you are paying attention people ignore you time people too busy you you are caring people care comes you let peopl
3,that sounds like fun it is nervous start new 
4,
5,yes that s true cared try person
6,biggest problem overthink
7,worst sadness sadness you have taught hide 
8,understand understand happening inside me explain myself 
9,you re fraud fake it s okay went through changes person own happened okay happened you stop making excuses people s cruel abusive behaviour it fault sweetheart
10,yo reacng o yo ay rong oo
11,proe are 
12,orry aw now ere yo need o al ven j d e ope yo re eelng lle eer oday pleae ay ae ron
13,o yo dong jo wa orn o do el olang ow yo 
14,
15,what is hun 
16,i am proud you speaking mental health happend years ago took life takes strength proud i am 
17,sending hugs way love you 
18,i hear friend
19,do not think understands tiring act okay strong reality you are close edge 
20,
21,do want answer that 
22,the worst feeling killing inside act like do not care 
23,im hurt shut down turn total bitch shut emotions act differently hate it 
24,me too 
25,over thinking ruins you ruins situation twists things around makes worry makes worse actually is 
26,you ll hang it need anything 
27,love sweetheart 
28,i m disappointed myself know i m better choices making things choose deal with 
29,so been seems long we have spoken so coping mentally 
30,i have okay i m nervous start cognitive behaviour therapy today so what is going you you n a dark head space 
31,you welcome sweetheart support groups parents children adhd we talk facebook 
32,hey hun nice hear you been 
33,
34,
35,yeah realised that but sure i spelt wrong tweet wanted tweet word again blonde moment big time lol
36,i stressing did not look right tipacal dumb moment lol
37,oh well certainly educate me thanks hunzp
38,exacally did not look right lol
39,i spent bloody hour trying spell spelt right way smh
40,well did not look right having dumb moment lol
41,thank right brain like chicken nugget moment bless
42,thank you help virtual hug back 
43,love sweetheart
44,hope okay you re special person do not deserve shit need talk 
45,i am sorry you are struggling sweetheart i m need talk i tweet i check day 
46,hope you are okay sweetheart 
47,
48,nah really glad christmas over 
49,yeah i struggle time year knowing family there s wishing wanted there 
50,so sorry hear that good family 
51,merry christmas hun hope wonderful day
52,totally understand 
53,oh makes sense thanks letting know 
54,i m following amazing years lol
55,pls explain 
