,tweet
0,@artroan_ No? I don't think so. I'm stressed out of my mind but not depressed.
1,"I know I'm useless, I'm failing college, I'm depressed,  I can't do any simple thing because of my anxiety and I'm a dissapointment but if there's one thing I'll be proud of of my life if I die is my fight and support for kindness, all races and genders and everything LGBTQ+."
2,Even if I was a depressed little shit at least I was more true to myself
3,The silence depressed me. It wasn’t the silence of silence. It was my own silence.
4,بس فى طب بتبقى  -I'm too depressed to study -I must back to study in 5 minutes  و إلا هنشيل اوبح 😂😂
5,Lol it RLY sucks being depressed especially during holidays
6,maybe i wouldn’t be as depressed if i had airpods 😔
7,I hate being depressed 😔
8,"@sevimxmb Tbh they're both my number 1, I just chose Spotlight 'cause it's not as ""happy"" and Living It Up and 'cause I'm a depressed btch safdg546sdasda But Livin It Up is HYPED AF!"
9,Me watching #BirbBox knowing my depressed ass would be immune to it  https://t.co/IoFYvFwdQT
10,Super Mega Depressed
11,"In the end, I am severely depressed"
12,"Me, feeling particularly depressed and anxious in general: I don't know what to do :( Me, putting on a random episode of it's alive: I just can't seem to relax or feel any joy Brad: says ""wourder"" Me, immediately: 💖💖💖💖💖💖  https://t.co/U2Sb9hUCxA"
13,"Feeling kinda depressed today, imposter syndrome kicking my ass. Don't really think my art is that good or inspiring, just...feeling bad. 😥"
14,im so depressed:(
15,@mirandaf02 @MajesticMosley am depressed
16,Obsessed depressed at the same time.
17,I’m depressed &amp; sad idc if you comment bad or good shit at least someone is interacting with me
18,@edgarwright @Dawn_French @ferrifrump And now I’m rather depressed that you achieved that a year younger than I am.  Dam you @edgarwright and your ridiculous talent. If I didn’t completely love you I’d probably hate you in a fit of jealous rage.
19,I can always tell when I’m going to be depressed my mood fluctuate too much for me
20,Feeling quite depressed going back to work after 5 days 😴
21,why do i feel so depressed for no reason this is honestly such a joke
22,"@JepicHQ Although I didn't do anything for Christmas, it was just nice to feel 'normal' on the day (rather than sad and depressed). That was enough to make it a good day for me. ✨"
23,@elementwarnd Oh. I would kill myself. It's to cold for to long in KY now. In so depressed it's not summer I cry almost every day 😢 I'm gonna move to AZ in like 5 years I think
24,@Vastness_Close I needed a good laugh really depressed
25,Kinda depressed my gf isn’t coming with me to surgery tmr 😒
26,the only thing I do different when I'm depressed is I smoke weed &amp; watch black mirror instead of cooking videos on YouTube
27,@talk_about_dae Well I’m depressed 😕
28,I'm so depressed. Touring is so hard and boring. I'm never going on tour again.
29,Tag yourself I’m me cause my life is a mess and I’m depressed lmao yeet
30,feeling depress't. this is truly epic.
31,I was depressed as fuck especially the first two months. I didn’t realize how many emotions I’ve suppressed.... I really miss my nana yo.
32,Why do I feel so depressed all the time
33,I’m depressed
34,I’ve been so depressed lately but I try my best not to show it.
35,Is anyone able to remove my hip? I am over the pain from it. 😰😰 it makes me so fucking depressed
36,Okay okay! Thanks to the Holidays I feel...  ✅ Tired ✅ Bloated ✅ Exhausted ✅ Migraines ✅ Fat  ✅ Anxiety overload ✅ Stressed ✅ Lazy ✅ Depressed ✅ Etc... * Thanks to my MINIS I don’t have to…  https://t.co/6bsaEtm0cc
37,I am depressed to the point where i'm literally about to walk out this bitch .
38,"does anyone have any advice on how to kinda look better?? this is a serious question, my depression got me being all types of ugly and i need easy things to make me look Not As Depressed lol :-)"
39,"Friends with the school hoe🤷🏽‍♀️ honestly I didn’t really care about the bullying I was more embarrassed because almost everybody had seen me naked and I was and still am super insecure about my body, and I was lonely as fuck I had NOBODY at all I was terribly depressed.  https://t.co/fzVPnb8V4n"
40,"When I'm depressed, I don't eat and I sleep too much/not enough. I love weed because it forces me to eat no matter how I'm feeling. Plant based meds are a gift from God."
