,tweet
0,"['no', 'i', 'do', 'not', 'think', 'so', 'i', 'am', 'stressed', 'mind', 'depressed']"
1,"['i', 'know', 'i', 'am', 'useless', 'i', 'am', 'failing', 'college', 'i', 'am', 'depressed', 'i', 'cannot', 'simple', 'thing', 'anxiety', 'i', 'am', 'dissapointment', 'there', 's', 'thing', 'i', 'will', 'proud', 'life', 'i', 'die', 'fight', 'support', 'kindness', 'races', 'genders', 'lgbtq']"
2,"['even', 'i', 'depressed', 'little', 'shit', 'i', 'tru']"
3,"['the', 'silence', 'depressed', 'me', 'it', 'wasnt', 'silence', 'silence', 'it', 'silence']"
4,"['i', 'am', 'depressed', 'study', 'i', 'study', 'minut']"
5,"['lol', 'rly', 'sucks', 'depressed', 'especially', 'holiday']"
6,"['maybe', 'wouldnt', 'depressed', 'airpod']"
7,"['i', 'hate', 'depress']"
8,"['tbh', 'they', 're', 'number', 'i', 'chose', 'spotlight', 'because', 'it', 'is', 'happy', 'living', 'it', 'up', 'because', 'i', 'am', 'depressed', 'btch', 'safdg', '546sdasda', 'but', 'livin', 'it', 'up', 'hyped', 'af']"
9,"['me', 'watching', 'knowing', 'depressed', 'ass', 'immun']"
10,"['super', 'mega', 'depress']"
11,"['in', 'end', 'i', 'severely', 'depress']"
12,"['me', 'feeling', 'particularly', 'depressed', 'anxious', 'general', 'i', 'do', 'not', 'know', 'me', 'putting', 'random', 'episode', 'it', 'is', 'alive', 'i', 'cannot', 'relax', 'feel', 'joy', 'brad', 'says', 'wourder', 'me', 'immediately']"
13,"['feeling', 'kinda', 'depressed', 'today', 'imposter', 'syndrome', 'kicking', 'ass', 'don', 't', 'think', 'art', 'good', 'inspiring', 'just', 'feeling', 'bad']"
14,"['im', 'depress']"
15,['depress']
16,"['obsessed', 'depressed', 'time']"
17,"['im', 'depressed', 'amp', 'sad', 'idc', 'comment', 'bad', 'good', 'shit', 'interact']"
18,"['and', 'im', 'depressed', 'achieved', 'year', 'younger', 'i', 'am', 'dam', 'ridiculous', 'talent', 'if', 'i', 'didnt', 'completely', 'love', 'id', 'probably', 'hate', 'fit', 'jealous', 'rage']"
19,"['i', 'tell', 'im', 'going', 'depressed', 'mood', 'fluctu']"
20,"['feeling', 'depressed', 'going', 'work', 'day']"
21,"['feel', 'depressed', 'reason', 'honestly', 'jok']"
22,"['although', 'i', 'did', 'not', 'christmas', 'nice', 'feel', 'normal', 'day', 'rather', 'sad', 'depressed', 'that', 'good', 'day', 'me']"
23,"['oh', 'i', 'kill', 'myself', 'it', 's', 'cold', 'long', 'ky', 'now', 'in', 'depressed', 'it', 'is', 'summer', 'i', 'day', 'i', 'am', 'gonna', 'az', 'like', 'years', 'i', 'think']"
24,"['i', 'needed', 'good', 'laugh', 'depress']"
25,"['kinda', 'depressed', 'gf', 'isnt', 'coming', 'surgery', 'tmr']"
26,"['thing', 'i', 'different', 'i', 'am', 'depressed', 'i', 'smoke', 'weed', 'amp', 'watch', 'black', 'mirror', 'instead', 'cooking', 'videos', 'youtub']"
27,"['well', 'im', 'depress']"
28,"['i', 'am', 'depressed', 'touring', 'hard', 'boring', 'i', 'am', 'going', 'tour', 'again']"
29,"['tag', 'im', 'cause', 'life', 'mess', 'im', 'depressed', 'lmao', 'yeet']"
30,"['feeling', 'depress', 't', 'truly', 'epic']"
31,"['i', 'depressed', 'fuck', 'especially', 'months', 'i', 'didnt', 'realize', 'emotions', 'ive', 'suppressed', 'i', 'miss', 'nana', 'yo']"
32,"['why', 'i', 'feel', 'depressed', 'tim']"
33,"['im', 'depress']"
34,"['ive', 'depressed', 'lately', 'i', 'try', 'best', 'it']"
35,"['is', 'able', 'remove', 'hip', 'i', 'pain', 'it', 'makes', 'fucking', 'depress']"
